oncor,2017-09-23 19:10,0,3,It was a great day at the @texas_univ driving #tribfest17 attendees around campus! @TexasTribune pic.twitter.com/vSKrvyNrrM,,@texas_univ @TexasTribune,#tribfest17,9.11729467676119E+017,https://twitter.com/oncor/status/911729467676119049
oncor,2017-09-23 14:00,0,0,We are proud to rep #Dallas w/ Mayor @mike_rawlie & sponsor the Cities one-on-one session at the @TexasTribune #tribfest17 this weekend. pic.twitter.com/CK1aOilv2K,,@mike_rawlie @TexasTribune,#Dallas #tribfest17,9.11651447263126E+017,https://twitter.com/oncor/status/911651447263125510
harmonix4,2017-09-23 13:06,0,1,Has @energyinsights @oncor thought about sending help to #PuertoRico -currently without power due to #HurricaneMariaPR ? #PuertoRicoFuerte,,@energyinsights @oncor,#PuertoRico #HurricaneMariaPR #PuertoRicoFuerte,9.11637842492903E+017,https://twitter.com/harmonix4/status/911637842492903426
tincantreader,2017-09-22 21:03,0,0,@oncor I'm chillin with my neighbors in my completely unshaded yard. Because of you assholes. #Creekbendbutchers,,@oncor,#Creekbendbutchers,9.11395610728784E+017,https://twitter.com/tincantreader/status/911395610728783872
RobAdamsFL,2017-09-22 17:47,0,0,Thank you for the assist! Safe travels,,,,9.11346276880536E+017,https://twitter.com/RobAdamsFL/status/911346276880535554
oncor,2017-09-22 17:25,14,27,Nearly 2 weeks in FL after #HurricaneIrma + we are headed home. Honor + privilege to help this effort; we are very grateful for all support! pic.twitter.com/x5vKaJoEqa,,,#HurricaneIrma,9.11340647772193E+017,https://twitter.com/oncor/status/911340647772192769
txuenergy,2017-09-22 17:18,0,0,Your local utility @oncor repairs power outages. Please visit http:// bit.ly/KUQJVp to report/track outage repairs.,,@oncor,,9.11338836143296E+017,https://twitter.com/txuenergy/status/911338836143296514
oncor,2017-09-22 13:05,0,0,"On the 1st day of #Fall , let’s look at what we did this #summer : @DCC_Camps young ladies spent a day w/ Oncor women! http:// social.oncor.com/ZD7e pic.twitter.com/9LtkPFwNbP",,@DCC_Camps,#Fall #summer,9.11275216210465E+017,https://twitter.com/oncor/status/911275216210464769
BlakeDietrich,2017-09-22 01:33,0,0,Thanks! Not yalls fault though so no need to apologize.,,,,9.11101215026459E+017,https://twitter.com/BlakeDietrich/status/911101215026458624
oncor,2017-09-22 01:32,0,0,We do apologize about that outage. It was reported and the estimated time for power to be on is 2:30am. Mikal,,,,9.11100825073738E+017,https://twitter.com/oncor/status/911100825073737728
BlakeDietrich,2017-09-22 01:14,0,0,@oncor outage on the north side of 6000 monticello Ave. thanks guys!,,@oncor,,9.11096458710983E+017,https://twitter.com/BlakeDietrich/status/911096458710982656
