AllDayNJ,2017-09-19 13:02,1,3,A big thank you to the @xcelenergy family for helpin us out in #SWFL Didn't have cold water so I gave them some fresh coconuts @XcelEnergyTX,,@xcelenergy @XcelEnergyTX,#SWFL,9.10187463502696E+017,https://twitter.com/AllDayNJ/status/910187463502696448
NewsChannel10,2017-09-09 22:49,0,0,@XcelEnergyTX will send aid to Florida in preparation for Hurricane Irma FULL STORY @NC10 https:// buff.ly/2vXnYVt pic.twitter.com/NC6gDZL9MR,,@XcelEnergyTX @NC10,,9.06711212674691E+017,https://twitter.com/NewsChannel10/status/906711212674691073
AmarilloISD,2017-08-30 13:21,1,4,@cfageorgiast @DrBryanBailey @drdanawest @AQHA @jaybarrett10 @AACAL003 @CaprockHigh_TX @XcelEnergyTX,,@cfageorgiast @DrBryanBailey @drdanawest @AQHA @jaybarrett10 @AACAL003 @CaprockHigh_TX @XcelEnergyTX,,9.02944405442752E+017,https://twitter.com/AmarilloISD/status/902944405442752513
LeslieC_Realtor,2017-08-22 14:54,0,0,YIKES! to the hikes.,,,,9.00068692796608E+017,https://twitter.com/LeslieC_Realtor/status/900068692796608512
BenjyEgel,2017-08-22 14:49,0,0,. @XcelEnergyTX wants to raise residential rates 14 percent over the next year to pay for ~$750M worth of updates. http:// amarillo.com/business/local -news/news/2017-08-21/xcel-energy-files-case-raise-residential-rate-14-percent …,,@XcelEnergyTX,,9.00067375957016E+017,https://twitter.com/BenjyEgel/status/900067375957016576
brettolson,2017-08-20 00:17,0,0,This will be a good test,,,,8.991232774651E+017,https://twitter.com/brettolson/status/899123277465100288
PeakDemandInc,2017-08-07 08:22,0,0,Let us know if need new pin insulators! #StaySafe #ThankALineman,,,#StaySafe #ThankALineman,8.94534227689189E+017,https://twitter.com/PeakDemandInc/status/894534227689189376
