TrinaDean39,2017-09-21 12:16,0,1,@AEPnews Went to help after Harvey & Found this #Lineman watch want to return it #PortAransas #HurricaneHarvey #pikeelectric pic.twitter.com/SAgP22Yq3O,,@AEPnews,#Lineman #PortAransas #HurricaneHarvey #pikeelectric,9.10900432414892E+017,https://twitter.com/TrinaDean39/status/910900432414892032
TransformersMag,2017-09-21 09:40,0,0,USD 320M transmission project planned in Pennsylvania @AEPnews #electric #transmission http://www. transformers-magazine.com/tm-news/4715-u sd-320m-transmission-project-planned-in-pennsylvania.html … pic.twitter.com/EV9qIj4IpZ,,@AEPnews,#electric #transmission,9.10861255270916E+017,https://twitter.com/TransformersMag/status/910861255270916096
MaureenWilt,2017-09-20 06:03,2,6,Happiness is leaving Hendry County EOC tonight and running into guys from @AEPnews ready to work in LaBelle! pic.twitter.com/rQlqTnzc1e,,@AEPnews,,9.10444315251499E+017,https://twitter.com/MaureenWilt/status/910444315251499008
BumperCrop1,2017-09-18 20:31,0,1,All of them are.,,,,9.09938078965477E+017,https://twitter.com/BumperCrop1/status/909938078965477376
MHolland_VA,2017-09-18 15:56,0,0,"Much better plan @EdWGillespie following the @AEPnews @DukeEnergy recovery efforts, allowing new Warner Country to do it's thing? Contained!",,@EdWGillespie @AEPnews @DukeEnergy,,9.09868681102004E+017,https://twitter.com/MHolland_VA/status/909868681102004224
LmS_3,2017-09-18 12:43,0,0,@AEPnews so my bill is paid and we have no power and it's now going on 1 smh,,@AEPnews,,9.09820092845785E+017,https://twitter.com/LmS_3/status/909820092845785089
LmS_3,2017-09-18 12:42,0,0,@AEPnews I didn't even know u could steal electric til now but I wish I would have,,@AEPnews,,9.09819971945009E+017,https://twitter.com/LmS_3/status/909819971945009152
LmS_3,2017-09-18 12:42,0,0,@AEPnews would rather punish us for things we have never done then to look at all matters at hand,,@AEPnews,,9.09819873500516E+017,https://twitter.com/LmS_3/status/909819873500516352
LmS_3,2017-09-18 12:36,0,0,Some tell me way my electric is off because other people stole electricity before me and @AEPnews don't care,,@AEPnews,,9.09818300124803E+017,https://twitter.com/LmS_3/status/909818300124803073
CampInvention,2017-09-18 12:00,3,4,Thank you @AEPnews for inspiring children through #CampInvention #STEM pic.twitter.com/ylpmNk2OyH,,@AEPnews,#CampInvention #STEM,9.09809251870282E+017,https://twitter.com/CampInvention/status/909809251870281729
theReal_McCoyTV,2017-09-18 11:01,0,0,"there are a few Nuke Plants near my home town, and I mean a Few. Scenario is by the time the civilians would know it be too late.",,,,9.09794512272265E+017,https://twitter.com/theReal_McCoyTV/status/909794512272265216
